treatment, sampleId, SSD, NRF, FRiP, PeakWidthSD, ReadsPerPeakSD, FractionLongPromoter20000to2000, FractionPromoter2000to500, FractionPromoter500, FractionAllTranscripts, FractionAllIntrons
ENCODE,ENCFF616NXH,0.428335807358812,0.209670879508335,0.0052561999232653,34.516635213905,246.317985590555,0.269768971222277,0.0329435727387094,0.0141073761509494,0.584919916566161,0.557491361821335
control,ENCFF822ESO,0.29572889072205,0.156673683238558,0.16464759318507,63.527926345318,54.5682798265864,0.23992892287229,0.0275328383259278,0.0138185680125256,0.570410973999772,0.548245041702933
ENCODE,ENCFF822ESO,0.267445985588693,0.156739916662704,0.164869241377339,63.527926345318,54.5682798265864,0.24024385019855,0.0275699029663815,0.0138371705354078,0.571173470294166,0.548977698272807
ENCODE,ENCFF693TLQ,0.137438665183956,0.0753772745527695,0.00270363031152682,15.5056371798621,24.2079796849095,0.226601314346766,0.023593727732682,0.0103432934354218,0.554002419811264,0.531493591722693
control,ENCFF693TLQ,0.176648168151334,0.075421686763051,0.00269753137815082,15.5056371798621,24.2079796849095,0.226093873105367,0.0235405042675805,0.0103199607122747,0.552754017149249,0.530295965175407
ENCODE,ENCFF743AGP,0.156697098947889,0.0838195760577839,0.00504516640597619,15.5056371798621,50.3987559553014,0.234745020620304,0.0256342202680306,0.01394500897653,0.557690648294618,0.533898822823044
PeakPass,ENCFF693TLQ,0.119402253802517,0.0760712005459262,0.0028212695015355,15.5056371798621,24.2209688406654,0.232907604365317,0.024349925569786,0.0107021197878364,0.576794441149221,0.553473671510471
control,ENCFF743AGP,0.224092284570694,0.0838072282341559,0.00502862143152507,15.5056371798621,50.3987559553014,0.233980507486093,0.0255501561390642,0.0138992781128336,0.555864150724423,0.532150347485
PeakPass,ENCFF743AGP,0.127267221625036,0.084304321372431,0.00529757155075015,15.5056371798621,50.4333099031753,0.242899787481702,0.0266600900194646,0.0145563567293189,0.584407525824079,0.559572930792502
control,ENCFF038NOW,0.142712058764512,0.0370443742598856,0.00146860791482907,30.0571891275221,100.194163304903,0.24181446407233,0.025923389625523,0.00907467964635259,0.562292863346345,0.539839635112279
